,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State
0,289900,USD,Greene Realty Group LLC,New - 7 hours ago,3,2.0,1944,sqft,"5142 Puget Rd NE, Olympia, WA 98516",Olympia, WA 98516
1,150000,USD,Jet Real Estate,New,2,2.0,1200,sqft,"15718 Ordway Dr SE, Yelm, WA 98597",Yelm, WA 98597
2,199500,USD,Windermere Real Estate Yelm,New - 7 hours ago,3,2.0,1012,sqft,"17020 Wisteria Cir SE, Yelm, WA 98597",Yelm, WA 98597
3,419900,USD,John L. Scott - Olympia,New - 7 hours ago,3,1.5,1986,sqft,"14148 Tilley Rd S, Tenino, WA 98589",Tenino, WA 98589
4,146999,USD,Adair Homes,Old,3,2.0,1340,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512
5,69900,USD,Northfork Realty,New - 7 hours ago,2,2.0,1152,sqft,"5409 Yakima Ln SE, Lacey, WA 98503",Lacey, WA 98503
6,299900,USD,RE/MAX PARKSIDE AFFILIATES,New - 7 hours ago,4,2.5,2580,sqft,"2736 113th Way SW, Olympia, WA 98512",Olympia, WA 98512
7,272900,USD,Blue Summit Realty LLC,New - 7 hours ago,3,1.0,1086,sqft,"8339 Daycrest Dr SE, Olympia, WA 98513",Olympia, WA 98513
8,595000,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New - 7 hours ago,3,2.0,2542,sqft,"5711 73rd Ave NE, Olympia, WA 98516",Olympia, WA 98516
9,299000,USD,Greene Realty Group LLC,New - 7 hours ago,4,2.0,1663,sqft,"7010 Meridian Rd SE, Olympia, WA 98513",Olympia, WA 98513
10,289900,USD,"RE/MAX Northwest Realtors - Olympia, WA",New - 7 hours ago,3,1.0,1173,sqft,"135 Cherry Ln SE, Tumwater, WA 98501",Tumwater, WA 98501
11,289950,USD,"VAN DORM REALTY, INC",New - 7 hours ago,3,2.0,1060,sqft,"5348 75th Ct SW, Olympia, WA 98512",Olympia, WA 98512
12,319950,USD,FirstPoint Real Estate LLC,New - 7 hours ago,3,2.0,1550,sqft,"1219 Warner St NE, Lacey, WA 98516",Lacey, WA 98516
13,350000,USD,Greene Realty Group LLC,New - 7 hours ago,3,2.0,1520,sqft,"3637 Mapleview Dr NE, Olympia, WA 98506",Olympia, WA 98506
14,609000,USD,Berkshire Hathaway Sound Rltrs,New - 7 hours ago,3,2.0,1996,sqft,"14848 159th Ln SE, Yelm, WA 98597",Yelm, WA 98597
15,148499,USD,Adair Homes,Old,3,2.0,1405,sqft,"South Puget Sound 2303 93rd Ave SW, Olympia, WA 98512",Olympia, WA 98512
16,369900,USD,Berkshire Hathaway Sound Rltrs,New - 6 hours ago,4,3.0,1868,sqft,"3048 70th Way SW, Tumwater, WA 98512",Tumwater, WA 98512
17,44900,USD,Windermere Real Estate Yelm,New - 7 hours ago,2,1.0,896,sqft,"10924 Clark Rd SE Unit 4, Yelm, WA 98597",Yelm, WA 98597
18,339000,USD,Realty One Group Prestige,New - 7 hours ago,3,2.0,1909,sqft,"5833 Donegal Ct SE, Lacey, WA 98503",Lacey, WA 98503
19,419900,USD,"VAN DORM REALTY, INC",New,4,3.0,2391,sqft,"11108 Pilchuck Ct SE, Olympia, WA 98501",Olympia, WA 98501
20,509900,USD,Home Team Northwest,New - 7 hours ago,3,2.5,2460,sqft,"1911 Arab Dr SE, Tumwater, WA 98501",Tumwater, WA 98501
21,415000,USD,Keller Williams South Sound,New - 7 hours ago,5,3.0,3111,sqft,"8601 15th Ave SE, Olympia, WA 98513",Olympia, WA 98513
22,599999,USD,"VAN DORM REALTY, INC",New - 7 hours ago,4,2.5,3149,sqft,"2022 Mare Ct SE, Tumwater, WA 98501",Tumwater, WA 98501
23,540000,USD,"Coldwell Banker Evergreen Olympic Realty, Inc",New - 7 hours ago,3,3.0,1920,sqft,"1229 Bing St NW, Olympia, WA 98502",Olympia, WA 98502
24,329000,USD,"VAN DORM REALTY, INC",New,3,2.0,1488,sqft,"9639 Glory Dr SE, Olympia, WA 98513",Olympia, WA 98513
25,349500,USD,RE/MAX REALTY SOUTH,New - 7 hours ago,4,2.5,1928,sqft,"15266 Chad Dr SE, Yelm, WA 98597",Yelm, WA 98597
26,375000,USD,"RE/MAX Northwest Realtors - Olympia, WA",New - 7 hours ago,4,2.5,2126,sqft,"9001 Campus Meadows Loop NE, Lacey, WA 98516",Lacey, WA 98516
27,340000,USD,MVP Realty Group,New - 7 hours ago,4,2.5,1871,sqft,"6913 Fresco Dr SE, Lacey, WA 98513",Lacey, WA 98513
28,349900,USD,Keller Williams South Sound,New - 7 hours ago,3,2.5,1800,sqft,"4405 Gallagher Way NW, Olympia, WA 98502",Olympia, WA 98502
29,318000,USD,"RE/MAX Northwest Realtors - Olympia, WA",New - 7 hours ago,4,2.0,1400,sqft,"1099 Old Highway 99 SE, Tenino, WA 98589",Tenino, WA 98589
